2026-08-31
PvEstimate,PvEstimate10,PvEstimate90,PeriodEnd,Period
0.0,0.0,0.0,2026-08-30T22:30:00Z,PT30M
0.0,0.0,0.0,2026-08-30T23:00:00Z,PT30M
0.0,0.0,0.0,2026-08-30T23:30:00Z,PT30M
0.0,0.0,0.0,2026-08-31,PT30M
0.0,0.0,0.0,2026-08-31T00:30:00Z,PT30M
0.0,0.0,0.0,2026-08-31T01:00:00Z,PT30M
0.0,0.0,0.0,2026-08-31T01:30:00Z,PT30M
0.0,0.0,0.0,2026-08-31T02:00:00Z,PT30M
0.0,0.0,0.0,2026-08-31T02:30:00Z,PT30M
0.0,0.0,0.0,2026-08-31T03:00:00Z,PT30M
0.0,0.0,0.0,2026-08-31T03:30:00Z,PT30M
0.0,0.0,0.0,2026-08-31T04:00:00Z,PT30M
0.0,0.0,0.0,2026-08-31T04:30:00Z,PT30M
0.0,0.0,0.0,2026-08-31T05:00:00Z,PT30M
0.037,0.0111,0.03885,2026-08-31T05:30:00Z,PT30M
0.1747,0.0477,0.2587,2026-08-31T06:00:00Z,PT30M
0.5196,0.132,0.8143,2026-08-31T06:30:00Z,PT30M
0.9415,0.303,1.4501,2026-08-31T07:00:00Z,PT30M
1.4762,0.6279,2.0881,2026-08-31T07:30:00Z,PT30M
2.1478,1.1315,2.6922,2026-08-31T08:00:00Z,PT30M
2.7464,1.6557,3.2241,2026-08-31T08:30:00Z,PT30M
3.2586,2.1488,3.7076,2026-08-31T09:00:00Z,PT30M
3.6804,2.5624,4.0973,2026-08-31T09:30:00Z,PT30M
4.0185,2.8951,4.4117,2026-08-31T10:00:00Z,PT30M
4.2366,3.1652,4.6231,2026-08-31T10:30:00Z,PT30M
4.3924,3.411,4.7939,2026-08-31T11:00:00Z,PT30M
4.4611,3.5635,4.8618,2026-08-31T11:30:00Z,PT30M
4.4974,3.671,4.9023,2026-08-31T12:00:00Z,PT30M
4.4271,3.6437,4.8197,2026-08-31T12:30:00Z,PT30M
4.3049,3.5411,4.6934,2026-08-31T13:00:00Z,PT30M
4.1076,3.3674,4.5116,2026-08-31T13:30:00Z,PT30M
3.8175,3.1179,4.2491,2026-08-31T14:00:00Z,PT30M
3.4777,2.8256,3.899,2026-08-31T14:30:00Z,PT30M
3.0833,2.4893,3.4833,2026-08-31T15:00:00Z,PT30M
2.6488,2.1212,3.0115,2026-08-31T15:30:00Z,PT30M
2.1533,1.7059,2.463,2026-08-31T16:00:00Z,PT30M
1.6448,1.2678,1.8837,2026-08-31T16:30:00Z,PT30M
1.1291,0.8337,1.2854,2026-08-31T17:00:00Z,PT30M
0.5864,0.4145,0.6714,2026-08-31T17:30:00Z,PT30M
0.1578,0.1276,0.16,2026-08-31T18:00:00Z,PT30M
0.0242,0.0175,0.02541,2026-08-31T18:30:00Z,PT30M
0.0,0.0,0.0,2026-08-31T19:00:00Z,PT30M
0.0,0.0,0.0,2026-08-31T19:30:00Z,PT30M
0.0,0.0,0.0,2026-08-31T20:00:00Z,PT30M
0.0,0.0,0.0,2026-08-31T20:30:00Z,PT30M
0.0,0.0,0.0,2026-08-31T21:00:00Z,PT30M
0.0,0.0,0.0,2026-08-31T21:30:00Z,PT30M
0.0,0.0,0.0,2026-08-31T22:00:00Z,PT30M
0.0,0.0,0.0,2026-08-31T22:30:00Z,PT30M
0.0,0.0,0.0,2026-08-31T23:00:00Z,PT30M
0.0,0.0,0.0,2026-08-31T23:30:00Z,PT30M
0.0,0.0,0.0,2026-09-01,PT30M
0.0,0.0,0.0,2026-09-01T00:30:00Z,PT30M
0.0,0.0,0.0,2026-09-01T01:00:00Z,PT30M
