periode,label,C_elec_kWh,C_ecs_kWh
0,00:00–00:30,0.175,0
1,00:30–01:00,0.175,0
2,01:00–01:30,0.175,0
3,01:30–02:00,0.175,0
4,02:00–02:30,0.175,0
5,02:30–03:00,0.175,0
6,03:00–03:30,0.175,0
7,03:30–04:00,0.175,0
8,04:00–04:30,0.175,0
9,04:30–05:00,0.175,0
10,05:00–05:30,0.175,0
11,05:30–06:00,0.175,0
12,06:00–06:30,0.175,0
13,06:30–07:00,0.175,0
14,07:00–07:30,0.175,0.7
15,07:30–08:00,0.175,0.7
16,08:00–08:30,0.4,0.7
17,08:30–09:00,0.4,0
18,09:00–09:30,0.5,0
19,09:30–10:00,0.5,0
20,10:00–10:30,0.5,0
21,10:30–11:00,0.5,0
22,11:00–11:30,0.55,0
23,11:30–12:00,0.55,0
24,12:00–12:30,0.7,0
25,12:30–13:00,0.7,0
26,13:00–13:30,0.7,0
27,13:30–14:00,0.7,0.2
28,14:00–14:30,0.7,0
29,14:30–15:00,0.7,0
30,15:00–15:30,0.5,0
31,15:30–16:00,0.5,0
32,16:00–16:30,0.4,0
33,16:30–17:00,0.4,0
34,17:00–17:30,0.35,0
35,17:30–18:00,0.35,0
36,18:00–18:30,0.3,0
37,18:30–19:00,0.3,0
38,19:00–19:30,0.5,0
39,19:30–20:00,0.5,0
40,20:00–20:30,0.3,0.2
41,20:30–21:00,0.3,0
42,21:00–21:30,0.175,0
43,21:30–22:00,0.175,0
44,22:00–22:30,0.175,0
45,22:30–23:00,0.175,0
46,23:00–23:30,0.175,0
47,23:30–00:00,0.175,0
